Merged_final_assignment,Plankton_classification,Taxa
Cystobasidiales,Non_plankton,Non_plankton
Cystoclonium purpureum,Phytoplankton,Phytoplankton
Dactylogyridae,Meroplankton,Meroplankton
Dactylogyridea,Non_plankton,Non_plankton
Dactylopodida,Non_plankton,Non_plankton
Dactylopusia tisboides,Holoplankton,Copepoda
Damaeidae,Non_plankton,Non_plankton
Dasineura,Non_plankton,Non_plankton
Dasysiphonia,Phytoplankton,Phytoplankton
Dasysiphonia japonica,Phytoplankton,Phytoplankton
Davidiellaceae,Non_plankton,Non_plankton
Decapoda,Meroplankton,Meroplankton
Delectopecten vitreus,Meroplankton,Meroplankton
Delesseria sanguinea,Phytoplankton,Non_plankton
Delesseriaceae,Phytoplankton,Phytoplankton
Delphacidae,Non_plankton,Non_plankton
Deltalsia parasitica,Phytoplankton,Phytoplankton
Demodex brevis,Non_plankton,Non_plankton
Demodex folliculorum,Non_plankton,Non_plankton
Dendrochirotida,Meroplankton,Meroplankton
Dendronotus frondosus,Meroplankton,Meroplankton
Dendronotus yrjargul,Meroplankton,Meroplankton
Dendrorhynchus,Meroplankton,Meroplankton
Dermatophagoides farinae,Non_plankton,Non_plankton
Desmapsamma anchorata,Meroplankton,Meroplankton
Desmarestia aculeata,Phytoplankton,Phytoplankton
Desmarestia viridis,Phytoplankton,Phytoplankton
Desmodora,Non_plankton,Non_plankton
Diaixis hibernica,Holoplankton,Copepoda
Diaphana,Meroplankton,Meroplankton
Diaphana minuta,Meroplankton,Meroplankton
Diaphanidae,Meroplankton,Meroplankton
Diaphorodoris luteocincta,Meroplankton,Meroplankton
Diapriidae,Non_plankton,Non_plankton
Diastylis lucifera,Meroplankton,Meroplankton
Diastyloides biplicatus,Holoplankton,Other
Dichelopandalus bonnieri,Meroplankton,Meroplankton
Dichomeris,Non_plankton,Non_plankton
Dictyonellidae,Meroplankton,Meroplankton
Dictyosiphon foeniculaceus,Phytoplankton,Phytoplankton
Dictyota,Phytoplankton,Phytoplankton
Dictyota dichotoma,Phytoplankton,Phytoplankton
Dictyotales,Phytoplankton,Non_plankton
Dilsea,Phytoplankton,Non_plankton
Dinophysis tripos,Phytoplankton,Phytoplankton
Diosaccus tenuicornis,Holoplankton,Copepoda
Diphasia rosacea,Holoplankton,Cnidaria
Diphyidae,Holoplankton,Cnidaria
Diphyllobothriidae,Meroplankton,Meroplankton
Dipleurosoma typicum,Holoplankton,Cnidaria
Diplocirrus glaucus,Meroplankton,Meroplankton
Diplosoma listerianum,Meroplankton,Meroplankton
Diplostomida,Non_plankton,Non_plankton
Dipodascaceae,Non_plankton,Non_plankton
Dipolydora giardi,Meroplankton,Meroplankton
Dipolydora socialis,Meroplankton,Meroplankton
Diptera,Non_plankton,Non_plankton
Discoconchoecia,Holoplankton,Ostracoda
Discoconchoecia elegans,Holoplankton,Ostracoda
Disconectes,Meroplankton,Meroplankton
Discostella,Phytoplankton,Non_plankton
Ditrichocorycaeus anglicus,Holoplankton,Copepoda
Ditylum brightwellii,Phytoplankton,Phytoplankton
Dolichopodidae,Non_plankton,Non_plankton
Dolomedidae,Non_plankton,Non_plankton
Donax vittatus,Meroplankton,Meroplankton
Doropygus,Holoplankton,Copepoda
Dorvilleidae,Meroplankton,Meroplankton
Dosinia exoleta,Meroplankton,Meroplankton
Dosinia lupinus,Meroplankton,Meroplankton
Dothideales,Non_plankton,Non_plankton
Dothioraceae,Non_plankton,Non_plankton
Dotidae,Meroplankton,Meroplankton
Doto,Meroplankton,Meroplankton
Doto coronata,Meroplankton,Meroplankton
Doto dunnei,Meroplankton,Meroplankton
Doto fragilis,Meroplankton,Meroplankton
Drosophila,Non_plankton,Non_plankton
Drosophilidae,Non_plankton,Non_plankton
Dryinidae,Non_plankton,Non_plankton
Durvillaea,Non_plankton,Non_plankton
Durvillaeaceae,Phytoplankton,Phytoplankton
Dytiscinae,Non_plankton,Non_plankton
Earleria panicula,Holoplankton,Cnidaria
Ebalia,Meroplankton,Meroplankton
Ebalia cranchii,Meroplankton,Meroplankton
Ebalia tuberosa,Meroplankton,Meroplankton
Echinidae,Meroplankton,Meroplankton
Echinocardium,Meroplankton,Meroplankton
Echinocardium cordatum,Meroplankton,Meroplankton
Echinocardium flavescens,Meroplankton,Meroplankton
Echinocardium pennatifidum,Meroplankton,Meroplankton
Echinocyamus pusillus,Meroplankton,Meroplankton
Echinometridae,Non_plankton,Non_plankton
Echinus esculentus,Meroplankton,Meroplankton
Echinus melo,Meroplankton,Meroplankton
Echiodon drummondii,Meroplankton,Meroplankton
Ectinosomatidae,Holoplankton,Copepoda
Ectocarpaceae,Phytoplankton,Phytoplankton
Ectocarpales,Phytoplankton,Phytoplankton
Ectocarpus crouaniorum,Phytoplankton,Phytoplankton
Ectocarpus fasciculatus,Phytoplankton,Phytoplankton
Ectocarpus siliculosus,Phytoplankton,Phytoplankton
Edwardsia longicornis,Meroplankton,Meroplankton
Edwardsia timida,Meroplankton,Meroplankton
Edwardsia tuberculata,Meroplankton,Meroplankton
Eimeria,Non_plankton,Non_plankton
Eirenidae,Holoplankton,Cnidaria
Elachista fucicola,Phytoplankton,Phytoplankton
Elaphoidella,Non_plankton,Non_plankton
Electra,Meroplankton,Meroplankton
Electra pilosa,Meroplankton,Meroplankton
Electridae,Meroplankton,Meroplankton
Elysia viridis,Meroplankton,Meroplankton
Embletonia pulchra,Meroplankton,Meroplankton
Embolemidae,Non_plankton,Non_plankton
Emericellopsis,Non_plankton,Non_plankton
Emericellopsis fuci,Non_plankton,Non_plankton
Emplectonema gracile,Meroplankton,Meroplankton
Enchelyopus cimbrius,Meroplankton,Meroplankton
Enchytraeida,Non_plankton,Non_plankton
Enchytraeidae,Non_plankton,Non_plankton
Encyonema,Phytoplankton,Phytoplankton
Encyrtidae,Non_plankton,Non_plankton
Enipo chuckchi,Meroplankton,Meroplankton
Ensis,Meroplankton,Meroplankton
Ensis ensis,Meroplankton,Meroplankton
Ensis magnus,Meroplankton,Meroplankton
Ensis siliqua,Meroplankton,Meroplankton
Entalina tetragona,Meroplankton,Meroplankton
Entomobryidae,Non_plankton,Non_plankton
Entomobryomorpha,Non_plankton,Non_plankton
Entovalva,Non_plankton,Non_plankton
Ephemeridae,Non_plankton,Non_plankton
Ephemeroptera,Non_plankton,Non_plankton
Epipleminae,Non_plankton,Non_plankton
Epitonium clathrus,Meroplankton,Meroplankton
Epitonium trevelyanum,Meroplankton,Meroplankton
Ercolania viridis,Meroplankton,Meroplankton
Erebidae,Non_plankton,Non_plankton
Ericaria balearica,Phytoplankton,Phytoplankton
Erotylidae,Non_plankton,Non_plankton
Erythropeltales,Non_plankton,Non_plankton
Eteone longa,Meroplankton,Meroplankton
Ethmodiscus punctiger,Phytoplankton,Phytoplankton
Eualus,Meroplankton,Meroplankton
Eualus cranchii,Meroplankton,Meroplankton
Eualus pusiolus,Meroplankton,Meroplankton
Eubranchidae,Meroplankton,Meroplankton
Eubranchus,Meroplankton,Meroplankton
Eubranchus exiguus,Meroplankton,Meroplankton
Eubranchus rupium,Meroplankton,Meroplankton
Eucalanidae,Holoplankton,Copepoda
Eucampia zodiacus,Phytoplankton,Phytoplankton
Eucanuella spinifera,Holoplankton,Copepoda
Euceraphis betulae,Non_plankton,Non_plankton
Euchaeta longicornis,Holoplankton,Copepoda
Euchaetidae,Holoplankton,Copepoda
Euchlanis dilatata,Holoplankton,Other
Eucoccidiorida,Non_plankton,Non_plankton
Eudendriidae,Holoplankton,Cnidaria
Eudendrium,Holoplankton,Cnidaria
Eudendrium arbuscula,Holoplankton,Cnidaria
Eudendrium capillare,Holoplankton,Cnidaria
Eudesme,Phytoplankton,Phytoplankton
Eukrohnia,Holoplankton,Chaetognatha
Eukrohnia bathyantarctica,Holoplankton,Chaetognatha
Eukrohnia hamata,Holoplankton,Chaetognatha
Eukrohniidae,Holoplankton,Chaetognatha
Eulima bilineata,Meroplankton,Meroplankton
Eulimidae,Meroplankton,Meroplankton
Eulophidae,Non_plankton,Non_plankton
Eulus,Meroplankton,Meroplankton
Eumida bahusiensis,Meroplankton,Meroplankton
Eumida elektra,Meroplankton,Meroplankton
Eumida ockelmanni,Meroplankton,Meroplankton
Eumida schanderi,Meroplankton,Meroplankton
Eumonostilifera,Meroplankton,Meroplankton
Eunice norvegica,Meroplankton,Meroplankton
Eunice pennata,Meroplankton,Meroplankton
Eunicida,Meroplankton,Meroplankton
Eunicidae,Meroplankton,Meroplankton
Eunoe nodosa,Meroplankton,Meroplankton
Eupelmidae,Non_plankton,Non_plankton
Euphausiacea,Holoplankton,Euphausiidae
Euphausiidae,Holoplankton,Euphausiidae
Euphysa,Holoplankton,Cnidaria
Euphysa aurata,Holoplankton,Cnidaria
Eurotiales,Non_plankton,Non_plankton
Eurychasmataceae,Non_plankton,Non_plankton
Eurynome aspera,Meroplankton,Meroplankton
Eurynome spinosa,Meroplankton,Meroplankton
Eurytomidae,Non_plankton,Non_plankton
Eusergestes arcticus,Meroplankton,Meroplankton
Euspira,Meroplankton,Meroplankton
Euspira fusca,Meroplankton,Meroplankton
Euspira montagui,Meroplankton,Meroplankton
Euspira nitida,Meroplankton,Meroplankton
Euterpina acutifrons,Holoplankton,Copepoda
Eutetrarhynchidae,Meroplankton,Meroplankton
Eutonina,Holoplankton,Cnidaria
Eutonina indicans,Holoplankton,Cnidaria
Eutrigla gurnardus,Meroplankton,Meroplankton
Euura ribesii,Non_plankton,Non_plankton
Euxoa,Non_plankton,Non_plankton
Evadne,Holoplankton,Cladocera
Evadne nordmanni,Holoplankton,Cladocera
Evalea,Meroplankton,Meroplankton
Exogone verugera,Meroplankton,Meroplankton
Facelina annulicornis,Meroplankton,Meroplankton
Facelina bostoniensis,Meroplankton,Meroplankton
Fasciolidae,Non_plankton,Non_plankton
Faviina,Holoplankton,Cnidaria
Fibulariidae,Meroplankton,Meroplankton
Filistatidae,Non_plankton,Non_plankton
Flavobacteriaceae,Non_plankton,Non_plankton
Flavobacteriales,Non_plankton,Non_plankton
Forcipulatida,Meroplankton,Meroplankton
Fragilariaceae,Phytoplankton,Phytoplankton
Fucaceae,Non_plankton,Non_plankton
Fucales,Phytoplankton,Phytoplankton
Fucus,Phytoplankton,Phytoplankton
Fusarium,Non_plankton,Non_plankton
Gadiculus argenteus,Meroplankton,Meroplankton
Gadidae,Meroplankton,Meroplankton
Gadiformes,Meroplankton,Meroplankton
Gadus morhua,Meroplankton,Meroplankton
Gaetanus minor,Holoplankton,Copepoda
Gaidropsarus vulgaris,Meroplankton,Meroplankton
Gaillona seposita,Phytoplankton,Phytoplankton
Galathea,Meroplankton,Meroplankton
Galathea dispersa,Meroplankton,Meroplankton
Galathea intermedia,Meroplankton,Meroplankton
Galathea nexa,Meroplankton,Meroplankton
Galathea squamifera,Meroplankton,Meroplankton
Galathea strigosa,Meroplankton,Meroplankton
Galatheascus striatus,Non_plankton,Non_plankton
Galatheidae,Meroplankton,Meroplankton
Galatheoidea,Meroplankton,Meroplankton
Galathowenia oculata,Meroplankton,Meroplankton
Galeommatida,Meroplankton,Meroplankton
Galeommatoidea,Meroplankton,Meroplankton
Gallus gallus,Non_plankton,Non_plankton
Gambierdiscus toxicus,Phytoplankton,Non_plankton
Gammarellus homari,Holoplankton,Amphipoda
Gammarus locusta,Holoplankton,Amphipoda
Gari fervensis,Meroplankton,Meroplankton
Gastropoda,Meroplankton,Meroplankton
Gastrosaccus spinifer,Holoplankton,Other
Gattyana,Meroplankton,Meroplankton
Gattyana cirrhosa,Meroplankton,Meroplankton
Gelidiales,Phytoplankton,Non_plankton
Gelidiellaceae,Phytoplankton,Phytoplankton
Gelidium,Phytoplankton,Phytoplankton
Geminocarpus,Phytoplankton,Phytoplankton
Geometridae,Non_plankton,Non_plankton
Geoplanidae,Non_plankton,Non_plankton
Gephyrocapsa huxleyi,Phytoplankton,Phytoplankton
Gigartinales,Non_plankton,Non_plankton
Glaciecola chathamensis,Non_plankton,Non_plankton
Glaucidae,Non_plankton,Non_plankton
Globisporangium,Non_plankton,Non_plankton
Glomerellalles,Non_plankton,Non_plankton
Glossobalanus marginatus,Meroplankton,Meroplankton
Glycera lapidum,Meroplankton,Meroplankton
Glycera lapidum II,Meroplankton,Meroplankton
Glycinde nordmanni,Meroplankton,Meroplankton
Glyphohesione,Meroplankton,Meroplankton
Glyptocephalus cynoglossus,Meroplankton,Meroplankton
Gobiiformes,Meroplankton,Meroplankton
Golfingia Golfingia margaritacea,Meroplankton,Meroplankton
Gomphonema,Phytoplankton,Phytoplankton
Gonactiniidae,Meroplankton,Meroplankton
Goniada maculata,Meroplankton,Meroplankton
Goniada norvegica,Meroplankton,Meroplankton
Goniadella gracilis,Meroplankton,Meroplankton
Goniodomataceae,Phytoplankton,Phytoplankton
Goniopsyllus rostratus,Holoplankton,Copepoda
Gonothyraea loveni,Holoplankton,Cnidaria
Gonyaulacaceae,Phytoplankton,Non_plankton
Gonyaulacales,Phytoplankton,Non_plankton
Gonyaulax spinifera,Phytoplankton,Phytoplankton
Gracilariales,Phytoplankton,Non_plankton
Gracilechinus,Meroplankton,Meroplankton
Gracilechinus acutus,Meroplankton,Meroplankton
Gracilechinus elegans,Meroplankton,Meroplankton
Grammonema striatula,Phytoplankton,Phytoplankton
Grania efflorescens,Phytoplankton,Non_plankton
Grania pectinata,Phytoplankton,Non_plankton
Grapsoidea,Non_plankton,Non_plankton
Guinardia striata,Non_plankton,Non_plankton
Gurjanovella littoralis,Meroplankton,Meroplankton
Gymnammodytes,Meroplankton,Meroplankton
Gymnammodytes cicerelus,Meroplankton,Meroplankton
Gymnodiniaceae,Phytoplankton,Phytoplankton
Gymnodiniales,Phytoplankton,Phytoplankton
Gymnodinium,Phytoplankton,Phytoplankton
Gymnodinium catenatum,Phytoplankton,Phytoplankton
Gyraulus,Non_plankton,Non_plankton
Hadrurus,Non_plankton,Non_plankton
Haemosporida,Non_plankton,Non_plankton
Haleciidae,Holoplankton,Cnidaria
Halecium halecinum,Holoplankton,Cnidaria
Halecium muricatum,Holoplankton,Cnidaria
Halichondria,Meroplankton,Meroplankton
Halichondria (Halichondria) panicea,Meroplankton,Meroplankton
Halichondria Halichondria panicea,Meroplankton,Meroplankton
Haliclona,Phytoplankton,Phytoplankton
Halidrys siliquosa,Phytoplankton,Phytoplankton
Halobiotus crispae,Non_plankton,Non_plankton
Halocyprididae,Holoplankton,Ostracoda
Halonoproctidae,Non_plankton,Non_plankton
Halopsis ocellata,Holoplankton,Cnidaria
Halymeniaceae,Phytoplankton,Phytoplankton
Halymeniales,Phytoplankton,Phytoplankton
Haminoeidae,Meroplankton,Meroplankton
Hansarsia,Non_plankton,Non_plankton
Hansarsia difficilis,Holoplankton,Euphausiidae
Hansarsia megalops,Holoplankton,Euphausiidae
Hapalidiaceae,Phytoplankton,Phytoplankton
Hapalidiales,Phytoplankton,Non_plankton
Haplosclerida,Meroplankton,Meroplankton
Haplospora globosa,Phytoplankton,Phytoplankton
Haplotrematidae,Meroplankton,Meroplankton
Haraldiophyllum,Phytoplankton,Phytoplankton
Harmothoe,Meroplankton,Meroplankton
Harmothoe abyssicola,Meroplankton,Meroplankton
Harmothoe antilopes,Meroplankton,Meroplankton
Harmothoe clavigera,Meroplankton,Meroplankton
Harmothoe extenuata,Meroplankton,Meroplankton
Harmothoe fernandi,Meroplankton,Meroplankton
Harmothoe fraserthomsoni,Meroplankton,Meroplankton
Harmothoe glabra,Meroplankton,Meroplankton
Harmothoe imbricata,Meroplankton,Meroplankton
Harmothoe impar,Meroplankton,Meroplankton
Harmothoe mariannae,Meroplankton,Meroplankton
Harpacticidae,Holoplankton,Copepoda
Harpacticoida,Holoplankton,Copepoda
Harpacticus chelifer,Holoplankton,Copepoda
Harpacticus flexus,Holoplankton,Copepoda
Harpacticus gracilis,Holoplankton,Copepoda
Harpacticus uniremis uniremis,Holoplankton,Copepoda
Hecatonema maculans,Phytoplankton,Non_plankton
Hecatonema terminale,Phytoplankton,Phytoplankton
Hedylopsis spiculifera,Meroplankton,Meroplankton
Helicarionidae,Meroplankton,Meroplankton
Helicarionoidea,Meroplankton,Meroplankton
Helotiaceae,Non_plankton,Non_plankton
Helotiales,Non_plankton,Non_plankton
Hemiarthrus abdominalis,Meroplankton,Meroplankton
Hemiasterellidae,Meroplankton,Meroplankton
Hemiaulaceae,Phytoplankton,Non_plankton
Hemiaulales,Phytoplankton,Non_plankton
Hemilamprops roseus,Meroplankton,Meroplankton
Hemimysis abyssicola,Holoplankton,Other
Hemioniscus,Holoplankton,Other
Hemioniscus balani,Meroplankton,Meroplankton
Hemiptera,Non_plankton,Non_plankton
Henricia sanguinolenta,Meroplankton,Meroplankton
Hermania indistincta,Meroplankton,Meroplankton
Hermania scabra,Meroplankton,Meroplankton
Hero formosa,Meroplankton,Meroplankton
Herpotrichiellaceae,Non_plankton,Non_plankton
Hesionidae,Meroplankton,Meroplankton
Heterocapsa rotundata,Phytoplankton,Phytoplankton
Heteroclymene robusta,Meroplankton,Meroplankton
Heteronemertea,Meroplankton,Meroplankton
Heteroneura,Non_plankton,Non_plankton
Heterorhabdidae,Holoplankton,Copepoda
Heterorhabdus,Holoplankton,Copepoda
Heterorhabdus norvegicus,Holoplankton,Copepoda
Heterorhabdus papilliger,Holoplankton,Copepoda
Heterosiphonia plumosa,Phytoplankton,Non_plankton
Hiatella,Meroplankton,Meroplankton
Hiatella arctica,Meroplankton,Meroplankton
Hildenbrandia,Phytoplankton,Phytoplankton
Hildenbrandia rubra,Phytoplankton,Phytoplankton
Hildenbrandiaceae,Phytoplankton,Phytoplankton
Hildenbrandiales,Phytoplankton,Non_plankton
Hincksia,Phytoplankton,Phytoplankton
Hincksia hincksiae,Phytoplankton,Phytoplankton
Hincksia sandriana,Phytoplankton,Phytoplankton
Hippoglossoides platessoides,Meroplankton,Meroplankton
Hippoglossus hippoglossus,Meroplankton,Meroplankton
Hippolyte varians,Meroplankton,Meroplankton
Hippolytidae,Meroplankton,Meroplankton
Hippothoidae,Meroplankton,Meroplankton
Holopedium gibberum,Holoplankton,Cladocera
Homo sapiens,Non_plankton,Non_plankton
Homoeonema platygonon,Holoplankton,Cnidaria
Homosclerophorida,Non_plankton,Non_plankton
Hormathia digitata,Meroplankton,Meroplankton
Hormathiidae,Meroplankton,Meroplankton
Hubrechtella dubia,Meroplankton,Meroplankton
Hyala vitrea,Meroplankton,Meroplankton
Hyalinoecia tubicola,Meroplankton,Meroplankton
Hyas,Meroplankton,Meroplankton
Hyas araneus,Meroplankton,Meroplankton
Hyas coarctatus,Meroplankton,Meroplankton
Hybocodon,Holoplankton,Cnidaria
Hybocodon prolifer,Holoplankton,Cnidaria
Hybotidae,Non_plankton,Non_plankton
Hydractiniidae,Holoplankton,Cnidaria
Hydrallmania falcata,Holoplankton,Cnidaria
Hydrobiidae,Non_plankton,Non_plankton
Hydroides elegans,Meroplankton,Meroplankton
Hydroides norvegica,Meroplankton,Meroplankton
Hydropsychidae,Meroplankton,Meroplankton
Hydrozoa,Holoplankton,Cnidaria
Hygromiidae,Meroplankton,Meroplankton
Hymenopodidae,Non_plankton,Non_plankton
Hymenoptera,Non_plankton,Non_plankton
Hymeraphia,Meroplankton,Meroplankton
Hyperia,Holoplankton,Amphipoda
Hyperiidae,Holoplankton,Amphipoda
Hyperoche,Holoplankton,Amphipoda
Hyperoche medusarum,Holoplankton,Amphipoda
Hyperoplus immaculatus,Meroplankton,Meroplankton
Hyphomicrobiales,Non_plankton,Non_plankton
Hypnea,Phytoplankton,Phytoplankton
Hypocreales,Non_plankton,Non_plankton
Hypogymnia,Non_plankton,Non_plankton
Hysterothylacium,Meroplankton,Meroplankton
Hysterothylacium aduncum,Meroplankton,Meroplankton
Ichneumonidae,Non_plankton,Non_plankton
Idiopidae,Non_plankton,Non_plankton
Idoteidae,Holoplankton,Other
Isarachnanthus nocturnus,Meroplankton,Meroplankton
Ischyrocerus,Holoplankton,Amphipoda
Ischyrocerus anguipes,Holoplankton,Amphipoda
Isias clavipes,Holoplankton,Copepoda
Isochrysidales,Non_plankton,Non_plankton
Isocirrus,Meroplankton,Meroplankton
Isopoda,Meroplankton,Meroplankton
Ixodida,Non_plankton,Non_plankton
Ixodidae,Non_plankton,Non_plankton
Jania adhaerens,Phytoplankton,Phytoplankton
Jania adherens,Phytoplankton,Non_plankton
Jassa falcata,Holoplankton,Amphipoda
Jassa marmorata,Holoplankton,Amphipoda
Jassa slatteryi,Holoplankton,Amphipoda
Jorunna tomentosa,Meroplankton,Meroplankton
Kallymeniaceae,Phytoplankton,Phytoplankton
Kareniaceae,Non_plankton,Non_plankton
Karnekampia sulcata,Meroplankton,Meroplankton
Kathlaniidae,Non_plankton,Non_plankton
Kellia suborbicularis,Meroplankton,Meroplankton
Kirchenpaueria pinnata,Holoplankton,Cnidaria
Knoutsodonta,Meroplankton,Meroplankton
Kryptoperidinium triquetrum,Phytoplankton,Phytoplankton
Kurtiella bidentata,Meroplankton,Meroplankton
Kurtiella tumidula,Meroplankton,Meroplankton
Kurtiformes,Meroplankton,Meroplankton
Labidocera,Holoplankton,Copepoda
Labidoplax buskii,Meroplankton,Meroplankton
Lachesillidae,Non_plankton,Non_plankton
Lacuna,Meroplankton,Meroplankton
Lacuna vincta,Meroplankton,Meroplankton
Laevicardium crassum,Meroplankton,Meroplankton
Lafoea dumosa,Holoplankton,Cnidaria
Lafoeidae,Holoplankton,Cnidaria
Lagis koreni,Meroplankton,Meroplankton
Lamellaria,Meroplankton,Meroplankton
Lamellaria latens,Meroplankton,Meroplankton
Laminaria,Phytoplankton,Phytoplankton
Laminaria digitata,Phytoplankton,Phytoplankton
Laminariaceae,Non_plankton,Non_plankton
Laminariales,Phytoplankton,Phytoplankton
Laminariocolax,Non_plankton,Non_plankton
Laminariocolax aecidioides,Phytoplankton,Phytoplankton
Laminariocolax tomentosoides,Phytoplankton,Phytoplankton
Lampeidae,Non_plankton,Non_plankton
Lanice conchilega,Meroplankton,Meroplankton
Laodicea,Holoplankton,Cnidaria
Laodicea undulata,Holoplankton,Cnidaria
Laodiceidae,Holoplankton,Cnidaria
Laonice,Meroplankton,Meroplankton
Laonice bahusiensis,Meroplankton,Meroplankton
Laonice cirrata,Meroplankton,Meroplankton
Laonice irinae,Meroplankton,Meroplankton
Laonice sarsi,Meroplankton,Meroplankton
Lasiocampidae,Non_plankton,Non_plankton
Lasioseius fimetorum,Non_plankton,Non_plankton
Latridiidae,Non_plankton,Non_plankton
Laurencieae,Non_plankton,Non_plankton
Leathesia marina,Phytoplankton,Non_plankton
Lebbeus,Meroplankton,Meroplankton
Lebetus scorpioides,Meroplankton,Meroplankton
Lecanorales,Non_plankton,Non_plankton
Lecithoceridae,Non_plankton,Non_plankton
Legionellales,Non_plankton,Non_plankton
Lehmannia,Non_plankton,Non_plankton
Leiochone johnstoni,Meroplankton,Meroplankton
Leiodidae,Non_plankton,Non_plankton
Leodice,Meroplankton,Meroplankton
Leodice antarctica,Meroplankton,Meroplankton
Leohumicola,Non_plankton,Non_plankton
Lepeophtheirus salmonis salmonis,Meroplankton,Meroplankton
Lepetellida,Non_plankton,Non_plankton
Lepidoptera,Non_plankton,Non_plankton
Lepidorhombus whiffiagonis,Meroplankton,Meroplankton
Leptocera curvinervis,Non_plankton,Non_plankton
Leptomitales,Non_plankton,Non_plankton
Lepton squamosum,Meroplankton,Meroplankton
Leptoneta abeillei,Non_plankton,Non_plankton
Leptoplanoidea,Meroplankton,Meroplankton
Leptosiphonia brodiei,Phytoplankton,Phytoplankton
Leptosynapta,Meroplankton,Meroplankton
Leptothecata,Holoplankton,Cnidaria
Leucia violacea,Meroplankton,Meroplankton
Leuckartiara nobilis,Holoplankton,Cnidaria
Leuckartiara octona,Holoplankton,Cnidaria
Leucocephalonemertes aurantiaca,Meroplankton,Meroplankton
Leucosiidae,Meroplankton,Meroplankton
Leucosolenida,Non_plankton,Non_plankton
Leufroyia concinna,Meroplankton,Meroplankton
Levanderina fissa,Phytoplankton,Phytoplankton
Liebstadia,Non_plankton,Non_plankton
Liebstadia similis,Non_plankton,Non_plankton
Limacia clavigera,Meroplankton,Meroplankton
Limacina,Holoplankton,Pteropoda
Limacina retroversa,Holoplankton,Pteropoda
Limacinidae,Holoplankton,Pteropoda
Limacodidae,Non_plankton,Non_plankton
Limanda,Meroplankton,Meroplankton
Limanda aspera,Meroplankton,Meroplankton
Limanda limanda,Meroplankton,Meroplankton
Limapontia capitata,Meroplankton,Meroplankton
Limapontia depressa,Meroplankton,Meroplankton
Limapontiidae,Meroplankton,Meroplankton
Limaria loscombi,Meroplankton,Meroplankton
Limidae,Meroplankton,Meroplankton
Limnophyes,Non_plankton,Non_plankton
Lineidae,Meroplankton,Meroplankton
Lineus longissimus,Meroplankton,Meroplankton
Lingulodinium polyedrum,Phytoplankton,Phytoplankton
Linyphiidae,Non_plankton,Non_plankton
Liocarcinus,Meroplankton,Meroplankton
Liocarcinus holsatus,Meroplankton,Meroplankton
Liomesus ovum,Meroplankton,Meroplankton
Liparis montagui,Meroplankton,Meroplankton
Liposcelis,Non_plankton,Non_plankton
Lissodendoryx,Meroplankton,Meroplankton
Lithodesmiaceae,Phytoplankton,Phytoplankton
Lithodesmiales,Phytoplankton,Phytoplankton
Lithodesmium,Phytoplankton,Phytoplankton
Lithothamnion,Phytoplankton,Non_plankton
Litosiphon laminariae,Phytoplankton,Phytoplankton
Littorina littorea,Meroplankton,Meroplankton
Littorinidae,Non_plankton,Non_plankton
Littorinimorpha,Meroplankton,Meroplankton
Lizzia,Holoplankton,Cnidaria
Lizzia blondina,Holoplankton,Cnidaria
Lobata,Non_plankton,Non_plankton
Lobophytum rigidum,Meroplankton,Meroplankton
Loktanella salsilacus,Non_plankton,Non_plankton
Longipedia,Holoplankton,Copepoda
Longipedia coronata,Holoplankton,Copepoda
Lophius piscatorius,Meroplankton,Meroplankton
Lophodoris danielsseni,Meroplankton,Meroplankton
Loveniidae,Meroplankton,Meroplankton
Loxosomatida,Non_plankton,Non_plankton
Lucicutia flavicornis,Holoplankton,Copepoda
Luidia,Meroplankton,Meroplankton
Luidia sarsii,Meroplankton,Meroplankton
Luidiidae,Meroplankton,Meroplankton
Lumbrineris aniara,Meroplankton,Meroplankton
Lutraria angustior,Meroplankton,Meroplankton
Lutraria lutraria,Meroplankton,Meroplankton
Lycaenidae,Non_plankton,Non_plankton
Lychas,Non_plankton,Non_plankton
Lycosidae,Non_plankton,Non_plankton
Lymnaeidae,Meroplankton,Meroplankton
Lymnaeoidea,Meroplankton,Meroplankton
Macellicephala violacea,Meroplankton,Meroplankton
Macoma balthica,Meroplankton,Meroplankton
Macoma calcarea,Meroplankton,Meroplankton
Macomangulus tenuis,Meroplankton,Meroplankton
Macrocystis,Non_plankton,Non_plankton
Macropipus tuberculatus,Meroplankton,Meroplankton
Macropodia rostrata,Meroplankton,Meroplankton
Macropodia tenuirostris,Meroplankton,Meroplankton
Mactra stultorum,Meroplankton,Meroplankton
Magelona johnstoni,Meroplankton,Meroplankton
Magelona minuta,Meroplankton,Meroplankton
Magelona mirabilis,Meroplankton,Meroplankton
Majidae,Meroplankton,Meroplankton
Malacalcyonacea,Meroplankton,Meroplankton
Malacobdella grossa,Meroplankton,Meroplankton
Malacoceros,Meroplankton,Meroplankton
Malacoceros fuliginosus,Meroplankton,Meroplankton
Malacoceros tetracerus,Meroplankton,Meroplankton
Malassezia globosa,Non_plankton,Non_plankton
Maldanidae,Meroplankton,Meroplankton
Mallotus villosus,Meroplankton,Meroplankton
Malmgrenia,Meroplankton,Meroplankton
Malmgrenia castanea,Meroplankton,Meroplankton
Malmgrenia ljungmani,Meroplankton,Meroplankton
Malmgrenia lunulata,Meroplankton,Meroplankton
Malmgrenia mcintoshi,Meroplankton,Meroplankton
