"","MIN","total_reads","no_samples","parent_MIN","type","rank"
"5825","MZP_000003146",15,2,"MZP_000003146","parent",2696
"5826","MZP_000003150",116,7,"MZP_000003150","parent",1163
"5827","MZP_000003151",40,3,"MZP_000003151","parent",1790
"5828","MZP_000003153",6,1,"MZP_000003153","parent",4015
"5829","MZP_000003154",9,4,"MZP_000003154","parent",3310
"5830","MZP_000003155",10,4,"MZP_000003155","parent",3110
"5831","MZP_000003163",17,5,"MZP_000003163","parent",2533
"5832","MZP_000003164",5,1,"MZP_000003164","parent",4369
"5833","MZP_000003165",29,5,"MZP_000003165","parent",2052
"5834","MZP_000003175",7,4,"MZP_000003175","parent",3645
"5835","MZP_000003177",5,2,"MZP_000003177","parent",4294
"5836","MZP_000003181",6,2,"MZP_000003181","parent",3894
"5837","MZP_000003182",66,14,"MZP_000003182","parent",1457
"5838","MZP_000003183",130,14,"MZP_000003183","parent",1115
"5839","MZP_000003184",42,7,"MZP_000003184","parent",1751
"5840","MZP_000003189",7,3,"MZP_000003189","parent",3666
"5841","MZP_000003190",116,18,"MZP_000003190","parent",1158
"5842","MZP_000003194",18,8,"MZP_000003194","parent",2455
"5843","MZP_000003201",6,4,"MZP_000003201","parent",3820
"5844","MZP_000003202",17,3,"MZP_000003202","parent",2544
"5845","MZP_000003203",312,17,"MZP_000003203","parent",780
"5846","MZP_000003205",32,8,"MZP_000003205","parent",1955
"5847","MZP_000003206",37,9,"MZP_000003206","parent",1844
"5848","MZP_000003208",13,4,"MZP_000003208","parent",2834
"5849","MZP_000003209",38,14,"MZP_000003209","parent",1820
"5850","MZP_000003210",7,1,"MZP_000003210","parent",3745
"5851","MZP_000003211",5,2,"MZP_000003211","parent",4295
"5852","MZP_000003212",15,3,"MZP_000003212","parent",2687
"5853","MZP_000003213",63,15,"MZP_000003213","parent",1481
"5854","MZP_000003214",34,5,"MZP_000003214","parent",1909
"5855","MZP_000012431",3,2,"MZP_000003214","pseudogene",5399
"5856","MZP_000003215",7,1,"MZP_000003215","parent",3746
"5857","MZP_000003216",13,7,"MZP_000003216","parent",2825
"5858","MZP_000003218",7,1,"MZP_000003218","parent",3747
"5859","MZP_000003219",5,1,"MZP_000003219","parent",4370
"5860","MZP_000003220",9,1,"MZP_000003220","parent",3376
"5861","MZP_000003221",6,3,"MZP_000003221","parent",3840
"5862","MZP_000003222",11,6,"MZP_000003222","parent",3009
"5863","MZP_000003223",13,3,"MZP_000003223","parent",2840
"5864","MZP_000003226",10,2,"MZP_000003226","parent",3165
"5865","MZP_000003227",63,19,"MZP_000003227","parent",1480
"5866","MZP_000009808",2,1,"MZP_000003227","pseudogene",8646
"5867","MZP_000003228",7,1,"MZP_000003228","parent",3748
"5868","MZP_000003229",8,1,"MZP_000003229","parent",3538
"5869","MZP_000003230",484,27,"MZP_000003230","parent",665
"5870","MZP_000003231",11,1,"MZP_000003231","parent",3073
"5871","MZP_000003232",21,8,"MZP_000003232","parent",2314
"5872","MZP_000003233",25,7,"MZP_000003233","parent",2169
"5873","MZP_000003234",5,2,"MZP_000003234","parent",4296
"5874","MZP_000003235",6,2,"MZP_000003235","parent",3895
"5875","MZP_000003236",16,2,"MZP_000003236","parent",2616
"5876","MZP_000013883",4,1,"MZP_000003236","pseudogene",5309
"5877","MZP_000003237",5,2,"MZP_000003237","parent",4297
"5878","MZP_000003238",14,5,"MZP_000003238","parent",2733
